Johannes Sobotae Mapheo archiepiscopo Hyadrensi (Venetiis, 1451-06-28), versio electronica	Sobota, Ivan	1451	prosa oratio - epistula		Venecija	Verborum 616	Luka Jelić Franjo Rački		1451-06-28	mortuus 1467	prosa		croala			Litterae renatae (1400-1600) Saeculum 15 (1401-1500) 1451-1500	sobotaiepist14510628	sobota-i-epist-1451-06-28.xml	12151	42
Fragmentum epistulae, versio electronica.	Sagudinus, Nicolaus	1452	prosa oratio - epistula			Verborum 251	Luka Jelić		1452	fl. 1452	prosa		croala			Litterae renatae (1400-1600) Saeculum 15 (1401-1500) 1451-1500	sagudinusnepist1452	sagudinus-n-epist-1452.xml	4551	43
Johannes Sobotae Mapheo archiepiscopo Hyadrensi, versio electronica	Sobota, Ivan	1452	prosa oratio - epistula		Trogir	Verborum 251	Luka Jelić Franjo Rački		1452-08-02	mortuus 1467	prosa		croala			Litterae renatae (1400-1600) Saeculum 15 (1401-1500) 1451-1500	sobotaiepist14520802	sobota-i-epist-1452-08-02.xml	7225	44
Johannes Sobote Clarissimo P. M. S. P. D., versio electronica	Sobota, Ivan	1453	prosa oratio - epistula		Trogir	Verborum 134	Luka Jelić Franjo Rački		1453-05-20	mortuus 1467	prosa		croala			Litterae renatae (1400-1600) Saeculum 15 (1401-1500) 1451-1500	sobotaiepist14530520	sobota-i-epist-1453-05-20.xml	6154	45
Johannes Sobotae Mapheo archiepiscopo Hyadrensi, versio electronica	Sobota, Ivan	1453	prosa oratio - epistula		Trogir	Verborum 118	Luka Jelić Franjo Rački		1453-06-30	mortuus 1467	prosa		croala			Litterae renatae (1400-1600) Saeculum 15 (1401-1500) 1451-1500	sobotaiepist14530630	sobota-i-epist-1453-06-30.xml	5970	46
Joannes Sobote Clarissimo P. M. S. P. D., versio electronica	Sobota, Ivan	1453	prosa oratio - epistula		Trogir	Verborum 224	Luka Jelić Franjo Rački		1453-07-24	mortuus 1467	prosa		croala			Litterae renatae (1400-1600) Saeculum 15 (1401-1500) 1451-1500	sobotaiepist14530724	sobota-i-epist-1453-07-24.xml	7076	47
Epistola ad Nicolaum Ostphi, versio electronica	Augustin Zagrepčanin, Juraj	1454	prosa oratio - epistula			Verborum 1885	Ladislaus Juhász		1454	fl. 1454	prosa		croala			Litterae renatae (1400-1600) Saeculum 15 (1401-1500) 1451-1500	augustgepist	august-g-epist.xml	18068	48
Joannis Sobote Dalmate epistola, versio electronica	Sobota, Ivan	1454	prosa oratio - epistula		Trogir	Verborum 545	Luka Jelić Franjo Rački		1454-07-27	mortuus 1467	prosa		croala			Litterae renatae (1400-1600) Saeculum 15 (1401-1500) 1451-1500	sobotaiepist14540727	sobota-i-epist-1454-07-27.xml	10254	49
Johannes Sobote clarissimo Patricio P. M. S. P. D., versio electronica	Sobota, Ivan	1454	prosa oratio - epistula		Trogir	Verborum 222	Luka Jelić Franjo Rački		1454-08-14	mortuus 1467	prosa		croala			Litterae renatae (1400-1600) Saeculum 15 (1401-1500) 1451-1500	sobotaiepist14540814	sobota-i-epist-1454-08-14.xml	6939	50
Clarissimo patricio Petro M. Joannes Sobote, versio electronica	Sobota, Ivan	1454	prosa oratio - epistula		Trogir	Verborum 471	Luka Jelić Franjo Rački		1454-12-24	mortuus 1467	prosa		croala			Litterae renatae (1400-1600) Saeculum 15 (1401-1500) 1451-1500	sobotaiepist14541224	sobota-i-epist-1454-12-24.xml	9343	51
Janci Alberti inscriptio, versio electronica	Alberti, Janko	1455	prosa - inscriptio		Split	Verborum 6	Cvito Fisković		1455	c. 1427-1493	prosa		croala			Litterae renatae (1400-1600) Saeculum 15 (1401-1500) 1451-1500	albertiinscr	albert-i-inscr.xml	2481	52
Epistulae, versio electronica	Jan Panonije	1456	prosa - epistula; prosa - versio		Italia; Hungaria	1969 verborum	Sámuel Teleki		1456	1434-1472	prosa		croala			Litterae renatae (1400-1600) Saeculum 15 (1401-1500) 1451-1500	ianpanepist	ian-pan-epist.xml	19425	53
Ad Pasqualem Maripetrum illustrissimum Venetum ducem oratio congratulatoria, versio electronica	Mihetić, Ambroz	1458	prosa oratio - oratio			Verborum 2289	Antonija Vlahov		1458-02-01	c. 1420-post 1487	prosa		croala			Litterae renatae (1400-1600) Saeculum 15 (1401-1500) 1451-1500	michetaoratio	michet-a-oratio.xml	21560	54
Ad Galeottum epistula, versio electronica	Jan Panonije	1462	prosa - epistula		Italia; Hungaria	366 verborum	Ács Pál Jankovics József Kőszeghy Péter		1462	1434-1472	prosa		croala			Litterae renatae (1400-1600) Saeculum 15 (1401-1500) 1451-1500	ianpanepistgal1462	ian-pan-epist-gal-1462.xml	5097	55
Nauicula Petri, versio electronica	Nikola Modruški	1463	prosa - tractatus; prosa - epistula			Verborum 6607	Luka Špoljarić		1463-11	c. 1427-1480	poesis		croala			Litterae renatae (1400-1600) Saeculum 15 (1401-1500) 1451-1500	modrnnavic	modr-n-navic.xml	52420	56
Prohemium in librum de navigatione, versio electronica	Kotruljević, Benedikt	1464	prosa oratio - epistula; prosa oratio - praefatio; prosa oratio - prooemium			Verborum 740	Damir Salopek		1464	oko 1416. - 1469?	prosa		croala			Litterae renatae (1400-1600) Saeculum 16 (1501-1600) 1501-1550 1551-1600	kotruljevicbnavig	kotruljevic-b-navig.xml	8340	57
Galeotto suo epistula, versio electronica	Jan Panonije	1465	prosa - epistula		Hungaria	926 verborum	Ács Pál Jankovics József Kőszeghy Péter		1465	1434-1472	prosa		croala			Litterae renatae (1400-1600) Saeculum 15 (1401-1500) 1451-1500	ianpanepistgal1465	ian-pan-epist-gal-1465.xml	8823	58
Joannes Lipauich post pestem Tragurium rediens composuit, versio electronica	Lipavić, Ivan	1465	poesis - elegia			70 versus, verborum 465	Šime Jurić		1465	floruit 1465	poesis		croala			Litterae renatae (1400-1600) Saeculum 15 (1401-1500) 1451-1500	lipaviceleg	lipavic-eleg.xml	6679	59
De consolatione liber, versio electronica	Nikola Modruški	1465	prosa oratio - tractatus		Italija	Verborum 79291	Neven Jovanović		1465	c. 1427-1480	prosa		croala			Litterae renatae (1400-1600) Saeculum 15 (1401-1500) 1451-1500	modrncons	modr-n-cons.xml	869764	60
Oratio legatorum Matthiae regis ad pontificem, in publica audientia, versio electronica	Jan Panonije	1465	prosa - oratio		Roma	1091 verborum	Ács Pál Jankovics József Kőszeghy Péter		1465-05	1434-1472	prosa		croala			Litterae renatae (1400-1600) Saeculum 15 (1401-1500) 1451-1500	ianpanoratio	ian-pan-oratio.xml	10591	61
Serenissimo Hungarorum regi Matthiae epistula, versio electronica	Jan Panonije	1467	prosa - epistula		Italia; Hungaria	406 verborum	Ács Pál Jankovics József Kőszeghy Péter		1467-10-15	1434-1472	prosa		croala			Litterae renatae (1400-1600) Saeculum 15 (1401-1500) 1451-1500	ianpanepistmatth	ian-pan-epist-matth.xml	5474	62
Prosopopeya, versio electronica	Šižgorić, Juraj	1469	poesis - elegia			98 versus, verborum 1000	Darko Novaković		1469-06	c. 1445-1509?	poesis		croala			Litterae renatae (1400-1600) Saeculum 15 (1401-1500) 1451-1500	sisgorgeleg	sisgor-g-prosopopeya.xml	7772	63
Cippicus ad lectorem, versio electronica	Cipiko, Alviz	1473	poesis - epigramma		Venetiis	; versus 10, verborum 65			1473	1456-1504	poesis paratextus poetici		croala			Litterae renatae (1400-1600) Saeculum 15 (1401-1500) 1451-1500	cipikoaadlectorem	cipiko-a-ad-lectorem.xml	3328	64
Naenia de clarissimo adolescente Petro Rhiario Sixti summi pontificis nepote, versio electronica	Cipiko, Alviz	1474	poesis - elegia			124 versus, verborum 799	Neven Jovanović		1474	1456-1504	poesis		croala			Litterae renatae (1400-1600) Saeculum 15 (1401-1500) 1451-1500	cipikoanaenia	cipiko-a-naenia.xml	13198	65
Oratio in funere Petri Riarii, versio electronica	Nikola Modruški	1474	prosa oratio - oratio		Rim	Verborum 4115	Neven Jovanović		1474	c. 1427-1480	prosa		croala			Litterae renatae (1400-1600) Saeculum 15 (1401-1500) 1451-1500	modrnoratioriar	modr-n-oratio-riar.xml	42342	66
Petri Mocenici imperatoris gestorum libri tres, versio electronica	Cipiko, Koriolan	1477	prosa oratio – historia			Verborum 16317	Neven Jovanović		1477	1425-1493	prosa		croala			Litterae renatae (1400-1600) Saeculum 15 (1401-1500) 1451-1500	cipikokpetri	cipiko-k-petri.xml	151657	67
Ad Georgium Sisgoreum, versio electronica	Marulić, Marko	1477	prosa oratio - epistula			Verborum 216	Branimir Glavičić Bratislav Lučin		1477	1450-1524	prosa		croala			Litterae renatae (1400-1600) Saeculum 15 (1401-1500) 1451-1500	marulmarepist1477	marul-mar-epist-1477.xml	3789	68
Carmina Latina, versio electronica	Marulić, Marko	1477	poesis - carmen; poesis - epigramma; poesis - epistula; poesis - hymnus; poesis - elegia		Split	2206 versus, verborum 14802	Bratislav Lučin ; Darko Novaković		1477	1450-1524	poesis		croala			Litterae renatae (1400-1600) Saeculum 16 (1501-1600) 1501-1550	marulmarcarmina	marul-mar-carmina.xml	179711	69
